timestamp,tool_id,tool_type,carbide_grade,coating,tool_diameter_mm,number_of_flutes,machine_id,shift,workpiece_material,workpiece_hardness_HB,spindle_speed_rpm,feed_rate_mm_min,cutting_speed_m_min,feed_per_tooth_mm,axial_depth_mm,radial_depth_mm,cutting_time_min,parts_produced,material_removal_rate_cm3_min,temperature_rise_C,vibration_mm_s,power_consumption_kW,cutting_force_increase_%,surface_roughness_Ra_um,flank_wear_VB_mm,crater_wear_KT_mm,dimensional_deviation_mm,chip_thickness_ratio,chip_color,edge_chipping,coolant_concentration_%,coolant_flow_L_min,coolant_pressure_bar,tool_condition,tool_condition_desc
2025-08-26 20:20:00,CB001,Carbide,K10,TiN,8,4,DMG_MORI_NLX2500,Night,Cast_Iron_GG25,180,8033.7,3105.2,201.9,0.097,2.34,4.53,40.23,16,32.96,154.7,0.653,1.04,5.7,0.81,0.078,0.001,0.0128,1.63,Silver,0,8.5,17.5,42.9,0,Good
2025-08-26 20:27:59,CB001,Carbide,P10,AlCrN,12,3,MAZAK_INTEGREX_i200,Afternoon,Steel_16MnCr5,220,5637.3,1624.2,212.5,0.096,2.17,6.91,24.41,9,24.36,180.9,0.574,0.5,4.6,0.87,0.074,0.0,0.0124,1.62,Silver,0,9.9,14.0,28.2,0,Good
2025-08-26 21:21:59,CB005,Carbide,M20,TiAlN,8,4,OKUMA_GENOS_L400,Night,Steel_C45,200,10379.7,4495.3,260.9,0.108,1.55,5.58,1.08,0,38.78,176.6,0.255,1.71,0.2,0.44,0.003,0.0,0.0053,1.51,Silver,0,9.2,17.5,5.0,0,Good
2025-08-26 21:34:59,CB014,Carbide,K10,TiN,20,5,DMG_MORI_NLX2500,Morning,Steel_42CrMo4,280,3289.0,1582.1,206.7,0.096,4.82,12.98,16.72,6,98.86,230.6,0.575,3.49,4.4,0.82,0.061,0.0,0.0111,1.6,Silver,0,8.9,14.5,34.7,0,Good
2025-08-26 21:50:59,CB010,Carbide,M20,AlCrN,6,2,OKUMA_GENOS_L400,Morning,Steel_42CrMo4,280,12900.9,2506.4,243.2,0.097,1.63,3.36,21.55,8,13.7,201.9,0.594,0.35,5.0,0.84,0.069,0.009,0.0119,1.63,Silver,0,6.8,24.1,31.4,0,Good
2025-08-26 22:12:59,CB012,Carbide,P20,TiN,20,4,DOOSAN_DNM_5700,Afternoon,Cast_Iron_GG25,180,3453.2,1504.5,217.0,0.109,6.42,12.31,14.89,5,118.93,237.4,0.396,3.55,2.1,0.6,0.009,0.002,0.0059,1.55,Silver,0,6.1,10.6,24.7,0,Good
2025-08-26 22:33:59,CB019,Carbide,K10,TiN,20,6,DMG_MORI_NLX2500,Afternoon,Steel_42CrMo4,280,3993.6,2364.4,250.9,0.099,5.29,13.82,3.75,1,172.95,210.5,0.321,5.68,1.0,0.43,0.015,0.002,0.0065,1.52,Silver,0,7.9,18.1,5.0,0,Good
2025-08-27 02:54:59,CB018,Carbide,P30,TiAlN,12,3,MAZAK_INTEGREX_i200,Afternoon,Steel_16MnCr5,220,6994.1,1962.9,263.7,0.094,2.24,8.31,13.15,5,36.51,184.5,0.497,1.34,2.3,0.65,0.04,0.003,0.009,1.57,Silver,0,6.6,24.5,39.0,0,Good
2025-08-27 03:36:00,CB010,Carbide,P10,TiAlN,8,3,DMG_MORI_NLX2500,Morning,Steel_42CrMo4,280,7642.6,1879.3,192.1,0.082,1.78,4.43,39.83,15,14.84,196.6,0.819,0.57,8.6,1.12,0.091,0.0,0.0141,1.75,Silver,0,6.9,12.6,17.3,1,Acceptable
2025-08-27 04:20:59,CB013,Carbide,P20,TiN,20,5,DOOSAN_DNM_5700,Morning,Steel_16MnCr5,220,3122.5,1476.5,196.2,0.095,4.94,13.88,7.05,2,101.21,192.6,0.363,2.99,1.5,0.5,0.019,0.0,0.0069,1.54,Silver,0,8.4,21.3,19.4,0,Good
2025-08-27 04:47:59,CB016,Carbide,P20,TiCN,8,4,DOOSAN_DNM_5700,Morning,Cast_Iron_GG25,180,7601.6,4206.9,191.0,0.138,2.4,4.6,92.68,37,46.45,155.3,1.032,1.39,12.4,1.53,0.155,0.0,0.0205,1.81,Silver,0,8.1,12.7,31.0,1,Acceptable
2025-08-27 04:58:59,CB012,Carbide,M20,TiAlN,10,3,HAAS_VF4,Afternoon,Steel_16MnCr5,220,6905.5,1908.9,216.9,0.092,1.75,6.63,21.64,8,22.15,168.2,0.501,0.75,3.8,0.86,0.086,0.0,0.0136,1.61,Silver,0,9.4,15.2,10.3,0,Good
2025-08-27 05:26:59,CB020,Carbide,P20,TiN,10,2,OKUMA_GENOS_L400,Afternoon,Steel_C45,200,8817.5,1803.7,277.0,0.102,2.65,6.71,39.09,15,32.01,188.9,0.813,1.24,7.9,1.23,0.096,0.01,0.0146,1.69,Silver,0,9.5,19.1,5.0,1,Acceptable
2025-08-27 05:34:59,CB014,Carbide,K10,TiN,6,4,OKUMA_GENOS_L400,Afternoon,Steel_C45,200,15685.8,7218.3,295.7,0.115,1.54,3.69,30.56,12,40.96,207.1,0.701,1.13,6.2,0.93,0.085,0.013,0.0135,1.65,Silver,0,8.8,24.5,40.8,0,Good
2025-08-27 06:27:59,CB011,Carbide,P10,TiN,16,5,MAZAK_INTEGREX_i200,Morning,Steel_42CrMo4,280,4947.5,2348.7,248.7,0.095,4.31,9.27,43.69,17,93.73,226.8,1.04,3.11,11.5,1.45,0.141,0.021,0.0191,1.77,Silver,0,6.4,14.5,5.0,1,Acceptable
2025-08-27 07:51:59,CB006,Carbide,M20,Uncoated,6,3,OKUMA_GENOS_L400,Night,Steel_16MnCr5,220,14288.0,3676.0,269.3,0.086,1.33,3.85,10.24,4,18.78,246.0,0.457,0.63,2.6,0.82,0.059,0.003,0.0109,1.55,Silver,0,8.2,13.4,43.6,0,Good
2025-08-27 08:16:59,CB013,Carbide,K10,TiAlN,10,3,DMG_MORI_NLX2500,Afternoon,Steel_C45,200,8683.0,2705.3,272.8,0.104,2.09,6.78,38.61,15,38.27,181.1,0.652,1.66,6.4,1.01,0.071,0.008,0.0121,1.68,Silver,0,10.0,15.1,24.4,1,Acceptable
2025-08-27 08:17:59,CB011,Carbide,K10,Uncoated,20,5,OKUMA_GENOS_L400,Afternoon,Steel_C45,200,4498.0,2090.2,282.6,0.093,3.98,12.18,10.55,4,101.38,240.2,0.49,2.96,2.5,0.83,0.003,0.003,0.0053,1.55,Silver,0,7.5,18.3,24.4,0,Good
2025-08-27 09:41:59,CB001,Carbide,M20,AlCrN,12,3,OKUMA_GENOS_L400,Morning,Steel_16MnCr5,220,6839.2,1972.5,257.8,0.096,3.03,7.29,53.86,21,43.63,207.3,0.988,1.69,10.2,1.26,0.137,0.01,0.0187,1.77,Silver,0,7.3,10.3,46.9,1,Acceptable
2025-08-27 11:04:59,CB013,Carbide,K10,AlCrN,16,4,HAAS_VF4,Morning,Steel_42CrMo4,280,4787.1,2107.5,240.6,0.11,3.93,9.01,0.34,0,74.57,176.5,0.29,2.24,0.1,0.48,0.022,0.0,0.0072,1.5,Silver,0,6.1,16.2,19.5,0,Good
2025-08-27 11:40:59,CB016,Carbide,P10,AlCrN,6,2,OKUMA_GENOS_L400,Night,Steel_C45,200,14760.9,3448.3,278.2,0.117,1.17,4.08,21.42,8,16.51,186.5,0.502,0.28,3.8,0.66,0.043,0.006,0.0093,1.6,Silver,0,6.7,15.3,5.0,0,Good
2025-08-27 12:26:00,CB006,Carbide,P10,TiN,20,4,DOOSAN_DNM_5700,Afternoon,Steel_16MnCr5,220,4308.1,1997.4,270.7,0.116,4.21,10.05,9.13,3,84.46,220.2,0.468,2.72,2.0,0.69,0.01,0.003,0.006,1.55,Silver,0,8.2,22.0,5.0,0,Good
